['52191004', '1010. 一元多项式求导(25)', '213']
['52234522', '1051. 复数乘法 (15)', '211']
['52234643', '1046. 划拳(15)', '294']
['52237292', '1041. 考试座位号(15)', '235']
['52237395', '1036. 跟奥巴马一起编程(15)', '247']
['52244219', '1031. 查验身份证(15)', '403']
['52244369', '1026. 程序运行时间(15)', '194']
['52244615', '1021. 个位数统计 (15)', '261']
['52244941', '1016. 部分A+B (15)', '202']
['52245188', '1011. A+B和C (15)', '253']
['52290891', '1053. 住房空置率 (20)', '132']
['52291941', '1049. 数列的片段和(20)', '126']
['52293015', '1048. 数字加密(20)', '148']
['52293389', '1047. 编程团体赛(20)', '178']
['52336948', '1043. 输出PATest(20)', '157']
['52337071', '1042. 字符统计(20)', '145']
['52337175', '1039. 到底买不买（20）', '250']
['52337394', '1038. 统计同成绩学生(20)', '102']
['52343594', '1037. 在霍格沃茨找零钱（20）', '128']
['52344401', '1034. 有理数四则运算(20)', '150']
['52346463', '1032. 挖掘机技术哪家强(20)', '145']
['52347059', '1012. 数字分类 (20)', '124']
['52347196', '1013. 数素数 (20)', '188']
['52351145', '1011. World Cup Betting (20)', '121']
['52353425', '1015. Reversible Primes (20)', '109']
['52353933', '1019. General Palindromic Number (20)', '115']
['52354736', '1023. Have Fun with Numbers (20)', '182']
['52356430', '1003. 我要通过！(20)', '356']
['52381811', '1018. 锤子剪刀布 (20)', '239']
['52382059', '1004. 成绩排名 (20)', '227']
['52382454', '1017. A除以B (20)', '193']
['52383790', '1019. 数字黑洞 (20)', '204']
['52383853', '1022. D进制的A+B (20)', '336']
['52384121', '1023. 组个最小数 (20)', '205']
['52385102', '1024. 科学计数法 (20)', '190']
['52385426', '1027. 打印沙漏(20)', '316']
['52386523', '1028. 人口普查(20)', '184']
['52387012', '1014. 福尔摩斯的约会 (20)', '198']
['52387443', '1029. 旧键盘(20)', '255']
['52387796', '1033. 旧键盘打字(20)', '506']
['52413789', '1050. 螺旋矩阵(25)', '145']
['52419192', '1045. 快速排序(25)', '237']
['52421483', '1040. 有几个PAT（25）', '169']
['52422439', '1035. 插入与归并(25)', '216']
['52424698', '1030. 完美数列(25)', '138']
['52440277', '1020. 月饼 (25)', '154']
['52440922', '1005. 继续(3n+1)猜想 (25)', '231']
['52441503', '1015. 德才论 (25)', '226']
['52443464', '1055. 集体照 (25)', '209']
['52447123', '1027. Colors in Mars (20)', '102']
['52447443', '1031. Hello World for U (20)', '106']
['52448614', '1035. Password (20)', '115']
['52489650', '1041. Be Unique (20)', '99']
['52489878', '1042. Shuffling Machine (20)', '95']
['52490119', '1046. Shortest Distance (20)', '104']
['52494063', '1054. The Dominant Color (20)', '112']
['52494074', '1050. String Subtraction (20)', '98']
['52494133', '1058. A+B in Hogwarts (20)', '172']
['52494153', '1061. Dating (20)', '118']
['52495613', '1065. A+B and C (64bit) (20)', '98']
['52496269', '1069. The Black Hole of Numbers (20)', '118']
['52496307', '1073. Scientific Notation (20)', '135']
['52512342', '1056. 组合数的和(15)', '1056']
['52513873', '1060. 爱丁顿数(25)', '592']
['52514259', '1059. C语言竞赛(20)', '241']
['52516106', '1057. 数零壹(20)', '247']
['52602926', '1002. A+B for Polynomials (25)', '201']
['52620618', '坐在马桶上看算法：只有五行的Floyd最短路算法', '191']
['52626818', '坐在马桶上看算法：Dijkstra最短路算法', '208']
['52650063', '1003. Emergency (25)', '245']
['52650527', '1006. Sign In and Sign Out (25)', '169']
['52661699', '1007. Maximum Subsequence Sum (25)', '151']
['52662116', '1009. Product of Polynomials (25)', '174']
['52693840', 'Notepad++配置c/c++环境', '3442']
['52727479', 'sublime text 3配置c/c++编译环境', '248']
['52809434', '1010. Radix (25)', '162']
['52809606', '1012. The Best Rank (25)', '148']
['52812157', '1013. Battle Over Cities (25)', '140']
['52894619', '1016. Phone Bills (25)', '182']
['52895727', '1077. Kuchiguse (20)', '178']
['52922401', 'C++:STL标准入门汇总', '476']
['52923393', 'C语言中文件操作总结', '297']
['52926282', '1017. Queueing at Bank (25)', '367']
['52927854', '前序、中序、后序相互转化的C代码简单递归实现', '493']
['52937664', '1020. Tree Traversals (25)', '181']
['52944258', '1007 DNA Sorting', '121']
['52949588', '1081. Rational Sum (20)', '130']
['52954991', '1004. Counting Leaves (30)', '215']
['52958180', '1021. Deepest Root (25)', '119']
['52964022', '1003.Hangover', '196']
['52965287', '汉诺塔递归C语言代码实现', '1204']
['52972416', '1024. Palindromic Number (25)', '166']
['52975572', '1025. PAT Ranking (25)', '182']
['52975712', '1028. List Sorting (25)', '208']
['52984310', '1032. Sharing (25)', '143']
['52988177', '线性表之&lt;顺序表sqlist&gt;的储存及插入、删除-C代码实现', '238']
['52988182', '线性表之&lt;链表linklist&gt;的储存及插入、删除-C代码实现', '208']
['52996342', '1029. Median (25)', '207']
['52999612', '1036. Boys vs Girls (25)', '125']
['53000813', '1037. Magic Coupon (25)', '143']
['53021458', '1039. Course List for Student (25)', '139']
['53024750', '1040. Longest Symmetric String (25)', '136']
['53039332', '1043. Is It a Binary Search Tree (25)', '276']
['53044108', '1044. Shopping in Mars (25)', '137']
['53044851', '1047. Student List for Course (25)', '137']
['53044986', '1048. Find Coins (25)', '145']
['53045253', '1051. Pop Sequence (25)', '178']
['53048622', '排序算法之冒泡排序&lt;Bubble_Sort&gt;及其C语言代码实现', '2142']
['53052933', '排序算法之插入排序&lt;Insertion_Sort&gt;及其C语言代码实现', '2330']
['53053069', '排序算法之希尔排序&lt;Shell_Sort&gt;及其C语言代码实现', '3035']
['53053141', '排序算法之选择排序&lt;Selection_Sort&gt;及其C语言代码实现', '2129']
['53053311', '1055. The World&#39;s Richest (25)', '161']
['53099682', '1059. Prime Factors (25)', '136']
['53105395', '1056. Mice and Rice (25)', '172']
['53141762', '1084. Broken Keyboard (20)', '124']
['53141782', '1092. To Buy or Not to Buy (20)', '135']
['53158092', '1100. Mars Numbers (20)', '305']
['53159495', '1096. Consecutive Factors (20)', '168']
['53159980', '1093. Count PAT&#39;s (25)', '156']
['53160052', '1104. Sum of Number Segments (20)', '166']
['53171029', '1060. Are They Equal (25)', '210']
['53171171', '1062. Talent and Virtue (25)', '168']
['53203236', '1063. Set Similarity (25)', '195']
['53206460', '1067. Sort with Swap(0,*) (25)', '170']
['53221823', '1014. Waiting in Line (30)', '237']
['53240497', '1018. Public Bike Management (30)', '461']
['53337922', 'C语言字符串函数总结（部分常见字符串函数）', '190']
['53339470', '1022. Digital Library (30)', '126']
['53355396', '1058. 选择题(20)', '278']
['53356486', '1054. 求平均值 (20)', '190']
['53359608', '1052. 卖个萌 (20)', '208']
['53359753', '1044. 火星数字(20)', '361']
['53364319', '1026. Table Tennis (30)', '127']
['53375999', 'C语言函数传递指针参数的问题', '8085']
['53379284', '1025. 反转链表 (25)', '268']
['53400750', '1097. Deduplication on a Linked List (25)', '166']
['53401927', '1090. Highest Price in Supply Chain (25)', '115']
['53402122', '1083. List Grades (25)', '94']
['53402255', '1074. Reversing Linked List (25)', '83']
['53402720', '1094. The Largest Generation (25)', '127']
['53403961', '1078. Hashing (25)', '131']
['53410786', '1099. Build A Binary Search Tree (30)', '85']
['53412048', '1064. Complete Binary Search Tree (30)', '107']
['53420527', '1086. Tree Traversals Again (25)', '123']
['53423438', '1085. Perfect Sequence (25)', '95']
['53440500', '1087. All Roads Lead to Rome (30)', '132']
['53442613', '1030. Travel Plan (30)', '125']
['53446735', '1009. 说反话 (20)', '153']
['53446789', '1008. 数组元素循环右移问题 (20)', '163']
['53446909', '1007. 素数对猜想 (20)', '188']
['53446921', '1006. 换个格式输出整数 (15)', '217']
['53446975', '1002. 写出这个数 (20)', '269']
['53447022', '1001. 害死人不偿命的(3n+1)猜想 (15)', '216']
['53543719', '1057. Stack (30)', '100']
['53556434', '1075. PAT Judge (25)', '115']
